Week Ending,Provider State,Residents Weekly Confirmed COVID-19,Residents Weekly All Deaths,Residents Weekly COVID-19 Deaths,Total Number of Occupied Beds
2020-06-21,NE,19.0,71.0,4.0,10188.0
2020-06-21,NH,70.0,52.0,12.0,5714.0
2020-06-21,NJ,217.0,418.0,89.0,33195.0
2020-06-21,NM,1.0,30.0,4.0,4845.0
2020-06-21,NV,11.0,14.0,2.0,5060.0
2020-06-21,NY,437.0,446.0,69.0,86867.0
2020-06-21,OH,198.0,371.0,61.0,64837.0
2020-06-21,OK,32.0,96.0,12.0,16599.0
2020-06-21,OR,11.0,76.0,5.0,6670.0
2020-06-21,PA,356.0,775.0,90.0,65924.0
2020-06-21,PR,0.0,0.0,0.0,74.0
2020-06-21,RI,70.0,39.0,21.0,6235.0
2020-06-21,SC,158.0,106.0,23.0,15834.0
2020-06-21,SD,18.0,30.0,3.0,5287.0
2020-06-21,TN,99.0,155.0,14.0,24855.0
2020-06-21,TX,649.0,458.0,101.0,82059.0
2020-06-21,UT,34.0,21.0,6.0,5073.0
2020-06-21,VA,137.0,130.0,33.0,24597.0
2020-06-21,VT,0.0,13.0,1.0,2203.0
2020-06-21,WA,43.0,61.0,5.0,13154.0
2020-06-21,WI,28.0,146.0,19.0,19910.0
2020-06-21,WV,2.0,45.0,2.0,8604.0
2020-06-21,WY,0.0,13.0,2.0,2184.0
2020-06-28,AK,0.0,1.0,0.0,662.0
2020-06-28,AL,371.0,150.0,36.0,20619.0
2020-06-28,AR,201.0,104.0,27.0,16143.0
2020-06-28,AZ,321.0,84.0,39.0,10362.0
2020-06-28,CA,1093.0,477.0,162.0,88769.0
2020-06-28,CO,34.0,82.0,11.0,14515.0
2020-06-28,CT,46.0,124.0,23.0,17747.0
2020-06-28,DC,0.0,6.0,1.0,1929.0
2020-06-28,DE,5.0,19.0,5.0,3405.0
2020-06-28,FL,695.0,386.0,86.0,65417.0
2020-06-28,GA,214.0,191.0,71.0,29359.0
2020-06-28,GU,0.0,0.0,0.0,10.0
2020-06-28,HI,3.0,8.0,0.0,3437.0
2020-06-28,IA,18.0,104.0,5.0,21387.0
2020-06-28,ID,5.0,13.0,0.0,3869.0
2020-06-28,IL,315.0,390.0,75.0,58397.0
2020-06-28,IN,152.0,229.0,40.0,34424.0
2020-06-28,KS,42.0,102.0,10.0,15976.0
2020-06-28,KY,214.0,104.0,9.0,21251.0
2020-06-28,LA,222.0,193.0,92.0,22872.0
2020-06-28,MA,92.0,179.0,52.0,30018.0
2020-06-28,MD,78.0,137.0,34.0,19930.0
2020-06-28,ME,54.0,46.0,0.0,5462.0
2020-06-28,MI,55.0,567.0,52.0,32592.0
2020-06-28,MN,39.0,152.0,28.0,21126.0
2020-06-28,MO,147.0,182.0,27.0,35534.0
2020-06-28,MS,134.0,54.0,11.0,14252.0
2020-06-28,MT,1.0,12.0,0.0,3703.0
2020-06-28,NC,140.0,195.0,32.0,33486.0
2020-06-28,ND,6.0,30.0,1.0,4898.0
2020-06-28,NE,19.0,69.0,4.0,10179.0
2020-06-28,NH,46.0,54.0,19.0,5629.0
2020-06-28,NJ,140.0,462.0,66.0,33212.0
2020-06-28,NM,25.0,27.0,4.0,4897.0
2020-06-28,NV,26.0,15.0,0.0,5090.0
